Nation,Points,Rank,Group,Group Rank
Brazil,1841.3,1,G,0
Belgium,1816.71,2,F,0
Argentina,1777.1100000000001,3,C,0
France,1754.71,4,D,0
England,1719.48,5,B,0
Spain,1713.51,7,E,0
Netherlands,1709.61,8,A,0
Portugal,1674.47,9,H,0
Denmark,1667.6699999999998,10,D,1
Germany,1641.46,11,E,1
Croatia,1659.13,12,F,1
Mexico,1640.21,13,C,1
Uruguay,1636.47,14,H,1
Switzerland,1650.41,15,G,1
United States,1619.95,16,B,1
Senegal,1584.17,18,A,1
Wales,1557.51,19,B,2
Iran,1570.58,20,B,3
Serbia,1577.7099999999998,21,G,2
Morocco,1568.65,22,F,2
Japan,1564.3899999999999,24,E,2
Poland,1551.0,26,C,2
South Korea,1534.58,28,H,2
Tunisia,1507.22,30,D,2
Costa Rica,1507.12,31,E,3
Australia,1493.71,38,D,3
Canada,1476.18,41,F,3
Cameroon,1457.93,43,G,3
Ecuador,1466.0400000000002,44,A,2
Qatar,1437.8100000000002,50,A,3
Saudi Arabia,1439.82,51,C,3
Ghana,1392.53,61,H,3
